mode,omega_fem_rad_s,omega_analytic_rad_s,omega_relative_error,frequency_fem_hz,frequency_analytic_hz,frequency_relative_error
1.000000000000e+00,1.780403576548e+02,1.780403538839e+02,2.118029435889e-08,2.833600299061e+01,2.833600239045e+01,2.118029432734e-08
2.000000000000e+00,1.115760812262e+03,1.115759852061e+03,8.605805828004e-07,1.775788485797e+02,1.775786957589e+02,8.605805827872e-07
3.000000000000e+00,3.124180910461e+03,3.124159893800e+03,6.727139869344e-06,4.972288350132e+02,4.972254901077e+02,6.727139869316e-06
4.000000000000e+00,6.122264019932e+03,6.122106497101e+03,2.573016847041e-05,9.743885816859e+02,9.743635111486e+02,2.573016847048e-05
5.000000000000e+00,1.012098881920e+04,1.012028070181e+04,6.997013369091e-05,1.610805399554e+03,1.610692699170e+03,6.997013369088e-05
